id,Tipo,,Meio,Brigada_format,Num_elementos,UO_DRCNF,LOCAL,Lat_Base,Long_Base,CONTACTO,EMAIL,Concelho,NUTSIII,AGFR,DDI_Portatil,DDI_Viatura,Viatura_COD,Viatura_existe_em_Viaturas_v1
1,ESF,CNT,SF 21-117,,5,AFLODOUNORTE - Associação Florestal do Vale do Douro Norte,Carrazeda de Ansiães,"41,46002","-7,469137",NULL,NULL,Carrazeda de Ansiães,Douro,NORTE,4260665,4260664,VLCI 91-XJ-17,OK
2,ESF,CNT,SF 15-117,,5,Município de Freixo de Espada à Cinta,Freixo de Espada À Cinta,"41,093192","-6,81072",NULL,NULL,Freixo de Espada À Cinta,Douro,NORTE,4260509,NULL,VLCI 10-JR-99,OK
3,ESF,CNT,SF 53-118,,5,APATA - Associação de Produtores Agrícolas Tradicionais e Ambientais,Macedo de Cavaleiros,"41,345388","-6,705556",NULL,NULL,Macedo de Cavaleiros,Terras de Trás-Os-Montes,NORTE,3260636,NULL,VLCI 97-OF-92,OK
4,ESF,CNT,SF 56-118,,5,Junta de Freguesia de Miranda do Douro,Miranda do Douro,"41,496094","-6,273368",NULL,NULL,Miranda do Douro,Terras de Trás-Os-Montes,NORTE,3260702,NULL,VLCI BC-11-AN,OK
5,ECNAF,PRP,CNAF 35,,5,ICNF - Norte,Mogadouro,NULL,NULL,NULL,NULL,Mogadouro,Terras de Trás-Os-Montes,NORTE,3260680,NULL,VLCI 17-TX-27,OK
6,ESF,CNT,SF 14-118,,4,APFNT - Associação de Produtores Florestais do Nordeste Transmontano,Miranda do Douro,"41,340649","-6,709127",NULL,NULL,Miranda do Douro,Terras de Trás-Os-Montes,NORTE,3260613,NULL,VLCI 17-28-TQ,OK
7,ESF,CNT,SF 28-118,,5,Município de Mirandela,Mirandela,"41,483096","-7,172948",NULL,NULL,Mirandela,Terras de Trás-Os-Montes,NORTE,3260621,NULL,VLCI 77-JS-54,OK
8,ESF,CNT,SF 57-118,,5,Junta de Freguesia de Mirandela,Mirandela,"41,458859","-7,185982",NULL,NULL,Mirandela,Terras de Trás-Os-Montes,NORTE,3260700,NULL,VLCI BF-92-GI,OK
9,ESF,CNT,SF 55-118,,5,Junta de Freguesia de Mirandela,Mirandela,"41,458859","-7,185982",NULL,NULL,Mirandela,Terras de Trás-Os-Montes,NORTE,3260698,NULL,VLCI 97-MP-97,OK
10,ESF,CNT,SF 49-118,,5,APATA - Associação de Produtores Agrícolas Tradicionais e Ambientais,Mogadouro,"41,345388","-6,705556",NULL,NULL,Mogadouro,Terras de Trás-Os-Montes,NORTE,3260524,3260635,VLCI 16-XO-40,OK
11,ESF,CNT,SF 44-118,,5,APATA - Associação de Produtores Agrícolas Tradicionais e Ambientais,Mogadouro,"41,345388","-6,705556",NULL,NULL,Mogadouro,Terras de Trás-Os-Montes,NORTE,3260631,NULL,VLCI 53-VA-78,OK
12,ESF,CNT,SF 21-118,,5,APFNT - Associação de Produtores Florestais do Nordeste Transmontano,Mogadouro,"41,340649","-6,709127",NULL,NULL,Mogadouro,Terras de Trás-Os-Montes,NORTE,3260617,NULL,VLCI 90-XJ-82,OK
13,ESF,CNT,SF 19-117,,5,"Município de Torre de Moncorvo, em representação do Órgão de Gestão do Baldio da Serra do Reboredo",Torre de Moncorvo,"41,17717","-7,05147",NULL,NULL,Torre de Moncorvo,Douro,NORTE,4260661,4260660,VLCI 35-VL-26,OK
14,ESF,CNT,SF 22-117,,5,Município de Vila Flor,Vila Flor,"41,308855","-7,153771",NULL,NULL,Vila Flor,Terras de Trás-Os-Montes,NORTE,3260646,NULL,VLCI 42-DA-15,OK
15,ESF,CNT,SF 07-117,,5,Município de Vila Flor,Vila Flor,"41,308855","-7,153771",NULL,NULL,Vila Flor,Terras de Trás-Os-Montes,NORTE,3260607,NULL,VLCI AS-03-OG,OK
16,ESF,CNT,SF 12-117,,5,SILVIDOURO - Associação Agro-Florestal,Vila Flor,"41,488262","-7,181056",NULL,NULL,Vila Flor,Terras de Trás-Os-Montes,NORTE,3260611,NULL,VLCI 80-JQ-57,OK
17,ESF,CNT,SF 29-118,,4,Município de Vimioso,Vimioso,"41,584466","-6,532",NULL,NULL,Vimioso,Terras de Trás-Os-Montes,NORTE,3260623,NULL,VLCI 69-IU-89,OK
18,ESF,CNT,SF 60-118,,4,APATA - Associação de Produtores Agrícolas Tradicionais e Ambientais,Bragança,"41,345388","-6,705556",NULL,NULL,Bragança,Terras de Trás-Os-Montes,NORTE,NULL,NULL,VLCI 21-LF-44,Viatura NÃO encontrada
19,ESF,CNT,SF 46-118,,5,Freguesia de Algoso Campo de Víboras e Uva,Vimioso,"41,470412","-6,575553",NULL,NULL,Vimioso,Terras de Trás-Os-Montes,NORTE,3260633,3260634,VLCI 91-XJ-06,OK
20,ESF,CNT,SF 54-118,,5,APATA - Associação de Produtores Agrícolas Tradicionais e Ambientais,Vimioso,"41,345388","-6,705556",NULL,NULL,Vimioso,Terras de Trás-Os-Montes,NORTE,3260637,NULL,VLCI AV-50-LM,OK
21,ESF,CNT,SF 33-118,,5,Freguesia de Ervedosa,Vinhais,"41,731035","-7,103848",NULL,NULL,Vinhais,Terras de Trás-Os-Montes,NORTE,3260626,3260625,VLCI 53-VA-45,OK
22,ESF,CNT,SF 23-118,,5,ARBOREA - Associação Agro-Florestal e Ambiental da Terra Fria Transmontana,Vinhais,"41,826937","-7,009635",NULL,NULL,Vinhais,Terras de Trás-Os-Montes,NORTE,3260619,NULL,VLCI AX-51-RN,OK
23,ESF,CNT,SF 10-118,,5,ARBOREA - Associação Agro-Florestal e Ambiental da Terra Fria Transmontana,Vinhais,"41,826937","-7,009635",NULL,NULL,Vinhais,Terras de Trás-Os-Montes,NORTE,3260609,NULL,VLCI 67-TX-46,OK
24,ESF,CNT,SF 14-16A,,5,Serras e Povoados - Associação,Belmonte,"40,307429","-7,459792",NULL,NULL,Belmonte,Beiras e Serra da Estrela,CENTRO,5260619,5260618,VLCI 53-VA-43,OK
25,ESF,CNT,SF 11-169,BRIG 01-169,5,Comunidade Intermunicipal da Beira Baixa - BRIG-1-169,Castelo Branco,"39,815194","-7,494407",NULL,NULL,Castelo Branco,Beira Baixa,CENTRO,5260552,5260551,VLCI 53-VA-70,OK
26,ESF,CNT,SF 12-169,BRIG 01-169,5,Comunidade Intermunicipal da Beira Baixa - BRIG-1-169,Castelo Branco,"39,815194","-7,494407",NULL,NULL,Castelo Branco,Beira Baixa,CENTRO,5260556,5260555,VLCI 53-VA-91,OK
27,ESF,CNT,SF 13-169,BRIG 01-169,5,Comunidade Intermunicipal da Beira Baixa - BRIG-1-169,Castelo Branco,"39,815194","-7,494407",NULL,NULL,Castelo Branco,Beira Baixa,CENTRO,5260558,5260557,VLCI 53-VA-95,OK
