MEGFR,TipoTerminal,DDI,UnidadeFuncional,Entidade,RadioUserAlias,COD_EQUIPA,Estado,NUTSIII,Indicativo_Operacional_Radio,Ligado_Meios_v1
ESF,Portatil,1260500,"Associação dos Agricultores dos Concelhos de Abrantes, Constância, Sardoal e Mação",ESF,SF 01-16C MT,SF 01-16C,1,Médio Tejo,S_F_UM_ABRANTES,Ligado (DDI)
ESF,Portatil,1260501,Associação de Produtores Florestais do Concelho de Coruche e Limítrofes,ESF,SF 01-185 LT,SF 01-185,1,Lezíria do Tejo,S_F_UM_CORUCHE,Ligado (DDI)
ESF,Portatil,1260502,ACHAR - Associação dos Agricultores da Charneca,ESF,SF 02-185 LT,SF 02-185,1,Lezíria do Tejo,S_F_DOIS_CHAMUSCA,Ligado (DDI)
ESF,Portatil,1260503,Assembleia de Compartes dos Baldios de Alcobertas,ESF,SF 03-185 LT,SF 03-185,1,Lezíria do Tejo,S_F_TRES_RIO_MAIOR,Ligado (DDI)
ESF,Portatil,1260504,"Baldio de Valverde, Pé da Pedreira, Barreirinha e Murteira",ESF,SF 04-185 LT,SF 04-185,1,Lezíria do Tejo,S_F_QUATRO_SANTARÉM,Ligado (COD_EQUIPA)
ESF,Portatil,1260505,Município de Loures,ESF,SF 05-171 GL,SF 05-171,1,Grande Lisboa,S_F_CINCO_LOURES,Ligado (DDI)
ESF,Portatil,1260506,Município de Azambuja,ESF,SF 05-185 LT,SF 05-185,1,Lezíria do Tejo,S_F_CINCO_AZAMBUJA,NÃO ligado
ESF,Portatil,1260507,FLORZÊZERE - Associação de Desenvolvimento Florestal do Concelho de Ferreira do Zêzere,ESF,SF 08-16C MT,SF 08-16C,1,Médio Tejo,S_F_OITO_FERREIRA_DO_ZÊZERE,Ligado (DDI)
ESF,Portatil,1260509,Município de Constância,ESF,SF 09-16C MT,SF 09-16C,1,Médio Tejo,S_F_NOVE_CONSTÂNCIA,Ligado (DDI)
ESF,Portatil,1260510,Município de Alcanena,ESF,SF 11-16C MT,SF 11-16C,1,Médio Tejo,S_F_ONZE_ALCANENA,Ligado (COD_EQUIPA)
ESF,Portatil,1260511,Município de Sardoal,ESF,SF 12-16C MT,SF 12-16C,1,Médio Tejo,S_F_DOZE_SARDOAL,Ligado (DDI)
ESF,Portatil,1260512,AFLOMAÇÃO - Associação Florestal do Concelho de Mação,ESF,SF 14-16C MT,SF 14-16C,1,Médio Tejo,S_F_CATORZE_MAÇÃO,Ligado (COD_EQUIPA)
ESF,Portatil,1260513,"Tapada Nacional de Mafra, CIPRL",ESF,SF 01-171 GL,SF 01-171,1,Grande Lisboa,S_F_UM_MAFRA,Ligado (DDI)
ESF,Portatil,1260514,"Tapada Nacional de Mafra, CIPRL",ESF,SF 01-171.2 GL,SF 01-171,1,Grande Lisboa,S_F_UM_MAFRA,Ligado (COD_EQUIPA)
ESF,Portatil,1260515,Município de Mafra,ESF,SF 02-171 GL,SF 02-171,1,Grande Lisboa,S_F_DOIS_MAFRA,Ligado (DDI)
ESF,Viatura,1260516,Município de Mafra,ESF,SF 02-171.2 GL,SF 02-171,1,Grande Lisboa,S_F_DOIS_MAFRA,Ligado (DDI)
ESF,Portatil,1260517,Município de Cascais,ESF,SF 04-171 GL,SF 04-171,1,Grande Lisboa,S_F_QUATRO_CASCAIS,Ligado (DDI)
ESF,Viatura,1260518,Município de Cascais,ESF,SF 04-171.3 GL,SF 04-171,1,Grande Lisboa,S_F_QUATRO_CASCAIS,Ligado (DDI)
ESF,Portatil,1260519,Município de Loures,ESF,SF 05-171.2 GL,SF 05-171,1,Grande Lisboa,S_F_CINCO_LOURES,Ligado (COD_EQUIPA)
ESF,Portatil,1260520,Município de Sintra,ESF,SF 06-171 GL,SF 06-171,1,Grande Lisboa,S_F_SEIS_SINTRA,Ligado (DDI)
ESF,Viatura,1260521,Município de Sintra,ESF,SF 06-171.2 GL,SF 06-171,1,Grande Lisboa,S_F_SEIS_SINTRA,Ligado (DDI)
ESF,Portatil,1260522,"Baldio de Valverde, Pé da Pedreira, Barreirinha e Murteira",ESF,SF 04-185.2 LT,SF 04-185,1,Lezíria do Tejo,S_F_QUATRO_SANTARÉM,Ligado (DDI)
ESF,Portatil,1260523,Município de Azambuja,ESF,SF 05-185.2 LT,SF 05-185,1,Lezíria do Tejo,S_F_CINCO_AZAMBUJA,Ligado (DDI)
BSF,Viatura,1260524,Comunidade Intermunicipal da Lezíria do Tejo - BRIG-1-185,BSF,SF 06-185 LT,SF 06-185,1,Lezíria do Tejo,BRIGADA_UM_CIM_LEZÍRIA_DO_TEJO,Ligado (DDI)
BSF,Portatil,1260525,Comunidade Intermunicipal da Lezíria do Tejo - BRIG-1-185,BSF,SF 06-185.2 LT,SF 06-185,1,Lezíria do Tejo,BRIGADA_UM_CIM_LEZÍRIA_DO_TEJO,Ligado (DDI)
BSF,Viatura,1260526,Comunidade Intermunicipal da Lezíria do Tejo - BRIG-1-185,BSF,SF 07-185 LT,SF 07-185,1,Lezíria do Tejo,BRIGADA_UM_CIM_LEZÍRIA_DO_TEJO,Ligado (DDI)
BSF,Portatil,1260527,Comunidade Intermunicipal da Lezíria do Tejo - BRIG-1-185,BSF,SF 07-185.2 LT,SF 07-185,1,Lezíria do Tejo,BRIGADA_UM_CIM_LEZÍRIA_DO_TEJO,Ligado (DDI)
BSF,Viatura,1260528,Comunidade Intermunicipal da Lezíria do Tejo - BRIG-1-185,BSF,SF 08-185 LT,SF 08-185,1,Lezíria do Tejo,BRIGADA_UM_CIM_LEZÍRIA_DO_TEJO,Ligado (DDI)
BSF,Portatil,1260529,Comunidade Intermunicipal da Lezíria do Tejo - BRIG-1-185,BSF,SF 08-185.2 LT,SF 08-185,1,Lezíria do Tejo,BRIGADA_UM_CIM_LEZÍRIA_DO_TEJO,Ligado (DDI)
BSF,Portatil,1260530,Comunidade Intermunicipal da Lezíria do Tejo - BRIG-1-185 Tecnico1,BSF,SF BR1-185 LT,SF 06-185,1,Lezíria do Tejo,BRIGADA_UM_CIM_LEZÍRIA_DO_TEJO,Ligado (COD_EQUIPA)
ESF,Viatura,1260533,"Associação dos Agricultores dos Concelhos de Abrantes, Constância, Sardoal e Mação",ESF,SF 03-16C MT,SF 03-16C,1,Médio Tejo,S_F_TRES_ABRANTES,Ligado (DDI)
ESF,Portatil,1260534,Associação dos Agricultores dos Concelhos de Abrantes. Constância. Sardoal e Mação,ESF,SF 03-16C.2 MT,SF 03-16C,1,Médio Tejo,S_F_TRES_ABRANTES,Ligado (DDI)
ESF,Viatura,1260537,"Associação dos Agricultores dos Concelhos de Abrantes, Constância, Sardoal e Mação",ESF,SF 04-16C MT,SF 04-16C,1,Médio Tejo,S_F_QUATRO_ABRANTES,Ligado (DDI)
ESF,Portatil,1260538,Associação dos Agricultores dos Concelhos de Abrantes. Constância. Sardoal e Mação,ESF,SF 04-16C.2 MT,SF 04-16C,1,Médio Tejo,S_F_QUATRO_ABRANTES,Ligado (DDI)
ESF,Portatil,1260539,FLORZÊZERE - Associação de Desenvolvimento Florestal do Concelho de Ferreira do Zêzere,ESF,SF 07-16C MT,SF 07-16C,1,Médio Tejo,S_F_SETE_FERREIRA_DO_ZÊZERE,Ligado (DDI)
ESF,Viatura,1260540,FLORZÊZERE - Associação de Desenvolvimento Florestal do Concelho de Ferreira do Zêzere,ESF,SF 07-16C.2 MT,SF 07-16C,1,Médio Tejo,S_F_SETE_FERREIRA_DO_ZÊZERE,Ligado (DDI)
ESF,Portatil,1260541,FLORZÊZERE - Associação de Desenvolvimento Florestal do Concelho de Ferreira do Zêzere,ESF,SF 08-16C.2 MT,SF 08-16C,1,Médio Tejo,S_F_OITO_FERREIRA_DO_ZÊZERE,Ligado (COD_EQUIPA)
ESF,Portatil,1260543,Município de Constância,ESF,SF 09-16C.2 MT,SF 09-16C,1,Médio Tejo,S_F_NOVE_CONSTÂNCIA,Ligado (COD_EQUIPA)
ESF,Portatil,1260544,Município de Alcanena,ESF,SF 11-16C.2 MT,SF 11-16C,1,Médio Tejo,S_F_ONZE_ALCANENA,Ligado (DDI)
ESF,Portatil,1260545,Município de Sardoal,ESF,SF 12-16C.2 MT,SF 12-16C,1,Médio Tejo,S_F_DOZE_SARDOAL,Ligado (COD_EQUIPA)
ESF,Portatil,1260548,AFLOMAÇÃO - Associação Florestal do Concelho de Mação,ESF,SF 14-16C.2 MT,SF 14-16C,1,Médio Tejo,S_F_CATORZE_MAÇÃO,Ligado (DDI)
ESF,Portatil,1260549,AFLOMAÇÃO - Associação Florestal do Concelho de Mação,ESF,SF 15-16C MT,SF 15-16C,1,Médio Tejo,S_F_QUINZE_MAÇÃO,Ligado (DDI)
ESF,Viatura,1260550,AFLOMAÇÃO - Associação Florestal do Concelho de Mação,ESF,SF 15-16C.2 MT,SF 15-16C,1,Médio Tejo,S_F_QUINZE_MAÇÃO,Ligado (DDI)
ESF,Portatil,1260551,AFLOMAÇÃO - Associação Florestal do Concelho de Mação,ESF,SF 16-16C MT,SF 16-16C,1,Médio Tejo,S_F_DEZASSEIS_MAÇÃO,Ligado (DDI)
ESF,Viatura,1260553,"Associação dos Agricultores dos Concelhos de Abrantes, Constância, Sardoal e Mação",ESF,SF 19-16C MT,SF 19-16C,1,Médio Tejo,S_F_DEZANOVE_BARQUINHA,Ligado (DDI)
ESF,Portatil,1260554,Associação dos Agricultores dos Concelhos de Abrantes. Constância. Sardoal e Mação,ESF,SF 19-16C.2 MT,SF 19-16C,1,Médio Tejo,S_F_DEZANOVE_BARQUINHA,Ligado (DDI)
BSF,Viatura,1260555,Comunidade Intermunicipal do Médio Tejo - BRIG-1-16C,BSF,SF 20-16C MT,SF 20-16C,1,Médio Tejo,BRIGADA_UM_CIM_MÉDIO_TEJO,Ligado (DDI)
BSF,Portatil,1260556,Comunidade Intermunicipal do Médio Tejo - BRIG-1-16C,BSF,SF 20-16C.2 MT,SF 20-16C,1,Médio Tejo,BRIGADA_UM_CIM_MÉDIO_TEJO,Ligado (DDI)
BSF,Viatura,1260557,Comunidade Intermunicipal do Médio Tejo - BRIG-1-16C,BSF,SF 21-16C MT,SF 21-16C,1,Médio Tejo,BRIGADA_UM_CIM_MÉDIO_TEJO,Ligado (DDI)
BSF,Portatil,1260558,Comunidade Intermunicipal do Médio Tejo - BRIG-1-16C,BSF,SF 21-16C.2 MT,SF 21-16C,1,Médio Tejo,BRIGADA_UM_CIM_MÉDIO_TEJO,Ligado (DDI)
BSF,Viatura,1260559,Comunidade Intermunicipal do Médio Tejo - BRIG-1-16C,BSF,SF 22-16C MT,SF 22-16C,1,Médio Tejo,BRIGADA_UM_CIM_MÉDIO_TEJO,Ligado (DDI)
BSF,Portatil,1260560,Comunidade Intermunicipal do Médio Tejo - BRIG-1-16C,BSF,SF 22-16C.2 MT,SF 22-16C,1,Médio Tejo,BRIGADA_UM_CIM_MÉDIO_TEJO,Ligado (DDI)
ESF,Portatil,1260561,Freguesia de Urqueira,ESF,SF 23-16C MT,SF 23-16C,1,Médio Tejo,S_F_VINTE_E_TRES_OURÉM,Ligado (DDI)
ESF,Viatura,1260562,Freguesia de Urqueira,ESF,SF 23-16C.2 MT,SF 23-16C,1,Médio Tejo,S_F_VINTE_E_TRES_OURÉM,Ligado (DDI)
ESF,Portatil,1260563,Associação dos Agricultores dos Concelhos de Abrantes. Constância. Sardoal e Mação,ESF,SF 24-16C MT,SF 24-16C,1,Médio Tejo,S_F_VINTE_E_QUATRO_ABRANTES,Ligado (DDI)
ESF,Viatura,1260564,"Associação dos Agricultores dos Concelhos de Abrantes, Constância, Sardoal e Mação",ESF,SF 24-16C.2 MT,SF 24-16C,1,Médio Tejo,S_F_VINTE_E_QUATRO_ABRANTES,Ligado (DDI)
BSF,Portatil,1260565,Comunidade Intermunicipal do Médio Tejo - BRIG-2-16C,BSF,SF 25-16C MT,SF 25-16C,1,Médio Tejo,BRIGADA_DOIS_CIM_MÉDIO_TEJO,Ligado (DDI)
BSF,Viatura,1260566,Comunidade Intermunicipal do Médio Tejo - BRIG-2-16C,BSF,SF 25-16C.2 MT,SF 25-16C,1,Médio Tejo,BRIGADA_DOIS_CIM_MÉDIO_TEJO,Ligado (DDI)
BSF,Portatil,1260567,Comunidade Intermunicipal do Médio Tejo - BRIG-2-16C,BSF,SF 26-16C MT,SF 26-16C,1,Médio Tejo,BRIGADA_DOIS_CIM_MÉDIO_TEJO,Ligado (DDI)
BSF,Viatura,1260568,Comunidade Intermunicipal do Médio Tejo - BRIG-2-16C,BSF,SF 26-16C.2 MT,SF 26-16C,1,Médio Tejo,BRIGADA_DOIS_CIM_MÉDIO_TEJO,Ligado (DDI)
