MEGFR,Viatura_COD,TIPO_DECIR,ELEMENTO,COD_EQUIPA,CODIGO_ICNF,TIPOLOGIA,MODELO,MARCA,CHASSIS,MATRICULA,UO_DRCNF,BASE,ESTADO,AGFR,LAT_BASE,LONG_BASE,DDI_VIATURA,Ligada_Meios_v1
EGFR,VCOT AA-91-LV,VCOT,NULL,NULL,VASG 01 NRT,Veículo de Apoio de Fogo Rural,Outlander,Mitsubishi,NULL,AA-91-LV,Norte,Cabeceiras de Basto,NULL,NORTE,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 39-FA-74,VCOT,NULL,NULL,VAFR 03 NRT,Veículo de Apoio de Fogo Rural,L200 4WD,MITSUBISHI,NULL,39-FA-74,Norte,Ponte de Lima,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT 55-VO-25,VCOT,NULL,NULL,VAFR 04 NRT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,55-VO-25,Norte,Braga,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT 91-XJ-08,VCOT,NULL,NULL,VAFR 05 NRT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,91-XJ-08,Norte,Chaves,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT 38-XF-56,VCOT,NULL,NULL,VAFR 07 NRT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,38-XF-56,Norte,Vila Real,NULL,NORTE,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 38-XF-63,VCOT,NULL,NULL,VAFR 09 NRT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,38-XF-63,Norte,Bragança,NULL,NORTE,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 55-VO-26,VCOT,NULL,NULL,VAFR 10 NRT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,55-VO-26,Norte,Chaves,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT AA-92-LV,VCOT,NULL,NULL,VASG 01 CNT,Veículo de Apoio Serviço Geral,Outlander,Mitsubishi,NULL,AA-92-LV,Centro,Guarda,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT 55-VO-37,VCOT,NULL,NULL,VAFR 02 CNT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,55-VO-37,Centro,Lousã,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT 38-XF-68,VCOT,NULL,NULL,VAFR 03 CNT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,38-XF-68,Centro,Viseu,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT 38-XF-72,VCOT,NULL,NULL,VAFR 04 CNT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,38-XF-72,Centro,Guarda,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT 55-VO-35,VCOT,NULL,NULL,VAFR 05 CNT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,55-VO-35,Centro,Castelo Branco,NULL,CENTRO,NULL,NULL,NULL,Ligada
EGFR,VCOT 55-VO-36,VCOT,NULL,NULL,VAFR 06 CNT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,55-VO-36,Centro,Marinha Grande,NULL,LVT,NULL,NULL,NULL,Ligada
EGFR,VCOT 17-TX-31,VCOT,NULL,NULL,VGFR 01 LVT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,17-TX-31,LVT,Porto de Mós,NULL,LVT,NULL,NULL,NULL,Ligada
EGFR,VCOT 17-TX-37,VCOT,NULL,NULL,VGFR 01 ALE,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,17-TX-37,Alentejo,Portalegre,NULL,ALENTEJO,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 17-TX-38,VCOT,NULL,NULL,VGFR 02 ALE,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,17-TX-38,Alentejo,Évora,NULL,ALENTEJO,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 38-XF-78,VCOT,NULL,NULL,VAFR 04 LVT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,38-XF-78,LVT,Alcochete,NULL,LVT,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 38-XF-79,VCOT,NULL,NULL,VAFR 05 LVT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,38-XF-79,LVT,Ourém,NULL,LVT,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 38-XF-84,VCOT,NULL,NULL,VAFR 06 LVT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,38-XF-84,LVT,Rio Maior,NULL,LVT,NULL,NULL,NULL,Ligada
EGFR,VCOT 39-FA-61,VCOT,NULL,NULL,VAFR 02 ALE,Veículo de Apoio de Fogo Rural,L200 4WD,MITSUBISHI,NULL,39-FA-61,Alentejo,Portalegre,NULL,ALENTEJO,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 39-XF-00,VCOT,NULL,NULL,VAFR 02 ALG,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,39-XF-00,Algarve,Olhão,NULL,ALGARVE,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 55-VO-20,VCOT,NULL,NULL,VAFR 02 LVT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,55-VO-20,LVT,Santarém,NULL,LVT,NULL,NULL,NULL,Ligada
EGFR,VCOT 55-VO-24,VCOT,NULL,NULL,VAFR 03 ALG,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,55-VO-24,Algarve,Olhão,NULL,ALGARVE,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 55-VO-30,VCOT,NULL,NULL,VAFR 03 LVT,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,55-VO-30,LVT,Sintra,NULL,LVT,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 55-VO-32,VCOT,NULL,NULL,VAFR 03 ALE,Veículo de Apoio de Fogo Rural,L200,Mitsubishi,NULL,55-VO-32,Alentejo,Alcácer do Sal,NULL,ALENTEJO,NULL,NULL,NULL,NÃO ligada
EGFR,VCOT 17-TX-42,VCOT,NULL,NULL,VGFR 01 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,17-TX-42,Norte,Ponte de Lima,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT 17-TX-41,VCOT,NULL,NULL,VGFR 02 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,17-TX-41,Norte,Porto,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT 17-TX-40,VCOT,NULL,NULL,VGFR 03 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,17-TX-40,Norte,Chaves,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-72-ZJ,VCOT,NULL,NULL,VGFR 04 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-72-ZJ,Norte,Vila Real,NULL,NORTE,NULL,NULL,NULL,Ligada
EGFR,VCOT AR-69-ZJ,VCOT,NULL,NULL,VGFR 05 NRT,Veículo de Gestão de Fogo Rural,Hilux,Toyota,NULL,AR-69-ZJ,Norte,Ponte de Lima,NULL,NORTE,NULL,NULL,NULL,Ligada
